general_id,display_name,era,career_start_year,career_end_year,notes
julius-caesar,Julius Caesar,Ancient,-58,-45,Scope limited to major battles of the Gallic Wars (58-50 BC) and the Civil War (49-45 BC); earlier propraetorship in Hispania Ulterior (61 BC) excluded for lack of battle-level data.
alexander-the-great,Alexander the Great,Ancient,-334,-326,"Scope limited to major set-piece battles/sieges of the Persian campaign (334-326 BC) with quantifiable troop/casualty estimates. Excludes the 335 BC Balkan campaign (destruction of Thebes), the Battle of the Persian Gate (330 BC, widely described by ancient and modern sources alike as costly but with no surviving casualty figure at all, not even a disputed one), most of the Sogdian guerrilla campaign beyond Cyropolis/Jaxartes, the Mallian campaign (326-325 BC, no quantifiable casualty figures found despite being well attested qualitatively), and the return march and death (323 BC). Alexander is universally regarded as undefeated in pitched battle -- every row here is a Win, unlike the mixed records of other generals in this dataset."
genghis-khan,Genghis Khan,Medieval,1204,1226,"Scope limited to major battles/sieges personally commanded (or personally supreme-commanded) by Genghis Khan with quantifiable troop-strength estimates, spanning the 1204 unification wars through the final 1226 Western Xia campaign. Excludes the Battle of the Thirteen Sides/Koyiten (1201) and the Battle of Khalakhaljid Sands (1203, Genghis's one major personal defeat) for lack of any troop or casualty figures in available sources; excludes the 1213-1215 Siege of Zhongdu for the same reason despite Genghis's personal command throughout. Also excludes battles led by subordinates in Genghis's name rather than under his personal or supreme direction: the 1208 Battle of the Irtysh River (Jochi), the Battle of Parwan (1221, Shigi Qutuqu, a Mongol defeat), and the 1221 sieges of Merv, Nishapur, and Gurganj (Tolui/Jochi/Ogedei/Chagatai). A systemic sourcing gap distinct from the ancient generals in this dataset: unlike Roman/Greek historiography, which nearly always states some own-side casualty figure (however self-serving), Mongol-era primary sources (the Secret History of the Mongols, Persian chronicles like Juvaini and Rashid al-Din, the Chinese Yuan Shi) and the modern historiography built on them almost never quantify Mongol losses, only the (often much larger) toll inflicted on the enemy. Every own_casualties figure in this general's rows is therefore an order-of-magnitude estimate inferred from qualitative source language ('light', 'minimal') or a single specific anecdote (the Zhongxing flood), not a source-attested count -- flagged per-row and noted here as the softest-sourced field across this entire dataset, ancient or medieval."
saladin,Saladin,Medieval,1174,1193,"Scope limited to major set-piece battles/sieges personally commanded by Saladin as Sultan, from the 1175 Battle of the Horns of Hama (his first major independent-command engagement after Nur ad-Din's 1174 death) through the 1192 Battle of Jaffa (the last major action before the Treaty of Jaffa truce; Saladin died in March 1193). Excludes the 1167 Battle of al-Babein, fought during Saladin's rise as Shirkuh's senior lieutenant in Egypt, since Shirkuh, not Saladin, held overall command. Also excludes several 1178-1184 engagements (Battle of Hama 1178, Battle of Marj Ayyun 1179, the Siege of Jacob's Ford 1179, the Battle of al-Fule 1183, the Battle of Belvoir/Le Forbelet 1182) for lack of any quantifiable troop-strength or casualty figure for Saladin's own side in available sources -- the same no-fabrication bar applied to Alexander's Persian Gate and Genghis's Khalakhaljid Sands elsewhere in this dataset. As with the Genghis Khan rows, several battles here (the Horns of Hama, the Siege of Jerusalem, the Siege of Tyre) have only a qualitative casualty description ('minimal', 'light'/'heavy') rather than a source-given count; those own_casualties/enemy_casualties figures are flagged per-row as order-of-magnitude placeholders, not source-derived numbers."
frederick-the-great,Frederick the Great,Early Modern,1741,1760,"Scope limited to major pitched battles personally commanded by Frederick II of Prussia across the First Silesian War (1741-42), Second Silesian War (1744-45), and Seven Years' War (1756-63): 12 battles from Mollwitz (1741) through Torgau (1760). Excludes the Battle of Kesselsdorf (1745), which was fought and won by Leopold I of Anhalt-Dessau while Frederick's own army was elsewhere -- the same personal-command bar applied to Genghis Khan's and Saladin's rosters. Also excludes the War of the Bavarian Succession (1778-79), fought under Frederick's overall direction late in his reign but essentially bloodless (nicknamed the 'Potato War'), and the final two years of the Seven Years' War (1761-63), which settled into maneuver and attrition without another pitched battle of comparable scale to those listed. source_confidence is Medium rather than Low across this roster: 18th-century Prussian and Austrian muster rolls and campaign histories give figures that are considerably better corroborated than the ancient and medieval rosters elsewhere in this dataset, but real disagreement of several thousand troops still shows up between sources for the same battle (Mollwitz's Prussian strength alone is quoted anywhere from 16,000 to 23,000), so High confidence is not claimed. resource_backing_tier is set per-row rather than fixed for the whole career: it starts at 3 during the Silesian Wars, when Prussia fought Austria roughly one-on-one with a full treasury inherited from Frederick William I, drops to 2 once the Seven Years' War's full coalition (Austria, France, Russia, Sweden, most of the Empire) is arrayed against Prussia from 1756, and drops again to 1 for 1758-1760 (Zorndorf, Kunersdorf, Torgau), reflecting Prussia's well-documented manpower and treasury crisis in the war's final years, kept solvent largely by British subsidy rather than its own resource base."
napoleon-bonaparte,Napoleon Bonaparte,Napoleonic,1796,1815,"Scope limited to 14 major set-piece battles personally commanded by Napoleon across the First Italian Campaign (1796-97), the Egyptian expedition (1798), the Marengo campaign (1800), and the imperial campaigns from Austerlitz (1805) through Waterloo (1815). tech_era_tier is set to 4, one above Frederick the Great and the other Early Modern roster entry, on the era ordering in the schema's ERAS tuple, but this is a closer call than the other roster boundaries: Napoleonic infantry and artillery are still flintlock muskets and smoothbore cannon with animal-powered logistics and no rail or telegraph, essentially the same weapons/logistics/communications basis as Frederick's Seven Years' War armies -- the real Napoleonic innovation was organizational (the corps system, mass conscription, forage-based rapid marching), not a jump in the schema's specific weapons/logistics/comms axis. Tier 4 is used anyway to keep the tier sequence monotonic with era order and to leave meaningful separation for the Industrial era (rifled muskets, railroads, telegraph -- a materially larger technology jump than Napoleonic-vs-Frederick) and WWII (mechanization, aircraft, radio) still to come on this roster; noted here since a case for tier 3 (matching Frederick) is equally defensible on the schema's own definition. resource_backing_tier is set per-row rather than fixed, tracking the rise and collapse of French state backing across the career: 2 during the resource-starved Directory-era Italian and Egyptian campaigns (the Army of Italy's chronic pay/supply shortages are well documented), 3 at Marengo as First Consul, 5 at the imperial peak (Austerlitz through Eylau), stepping down to 4 as the Peninsular War drains resources during Wagram and Borodino, 2 as the Empire collapses by Leipzig, and 1 for the isolated, hastily-raised Hundred Days army at Waterloo. The Battle of Jena (1806-10-14) row covers only Napoleon's own engagement against Hohenlohe, not the simultaneous Battle of Auerstedt fought the same day by Marshal Davout against the main Prussian army -- excluded as a subordinate-commanded action, the same personal-command bar used for Genghis Khan, Saladin, and Frederick's roster. Waterloo's opponent_general_id is recorded as Wellington, who held the defended position throughout, though Blucher's Prussian army was decisive to the battle's outcome; the schema has one opponent field per row and Wellington is the single commander most directly opposing Napoleon's own attacks. Net record is 11 wins (2 Rout-level and 2 Pyrrhic among them: Wagram and Borodino, the latter recorded as a Win with objective_secured=false since the tactical field-holding produced no strategic result) / 2 Rout-level losses (Leipzig, Waterloo) / 1 Draw (Eylau, held per modern historiography over French claims of holding the field as a win, the same treatment as Frederick's Zorndorf)."
ulysses-s-grant,Ulysses S. Grant,Industrial,1861,1865,"Scope limited to major battles/sieges personally commanded (or personally supreme-commanded) by Ulysses S. Grant from his first independent command at Belmont (1861) through Lee's surrender at Appomattox (1865): 15 rows. tech_era_tier is set to 4, the same tier as Napoleon Bonaparte, rather than a distinct value -- the schema's 1-5 tier scale cannot give each of the six ERAS its own value without a collision somewhere, and the schema's own tier-5 definition ('mechanised warfare with radio and rail') is a closer match to the WWII roster entry still to come than to the Civil War, which had rail and telegraph but no radio or mechanization; a real technological gap between Napoleonic muskets/animal logistics and Civil War rifled muskets/rail/telegraph exists and is not captured by this field, noted here in case Phase 7's sanity pass questions the flat tier. resource_backing_tier is set per-row, tracking the Union's real mobilization curve: 2 at Belmont (1861, a new volunteer army barely organized), 3 through the 1862 western campaigns (Fort Henry, Fort Donelson, Shiloh), 4 through the 1863 Vicksburg/Chattanooga campaigns as Northern industrial mobilization matured, and 5 from the 1864 Overland Campaign onward, when the Union was a state able to fully replace its losses -- the textbook case the schema's tier-5 definition describes. political_constraint_flag is true for Shiloh (the post-battle firestorm and calls for Grant's removal that Lincoln overrode) and for every 1864 battle from the Wilderness through Globe Tavern (well-documented pressure not to appear stalled or in retreat ahead of the November 1864 election), false again once Lincoln's re-election removed that specific pressure. Excludes several Vicksburg-campaign battles fought primarily by subordinate corps commanders rather than under Grant's direct battlefield direction (Port Gibson: McClernand; Raymond and Jackson: McPherson; Big Black River Bridge: McClernand) -- the same personal-command bar used to exclude Genghis Khan's, Saladin's, Frederick's, and Napoleon's subordinate-led battles elsewhere in this dataset. Also excludes the Battle of Corinth (1862), where Grant was department commander but Rosecrans held the field command and Grant was not present, a genuinely different case from the 1864 Overland Campaign battles (Wilderness, Spotsylvania, Cold Harbor, and the Petersburg rows below) where Grant, as general-in-chief, traveled with the Army of the Potomac and personally directed its overall strategy while George Meade remained its formal tactical commander -- treated here as Grant's battles on the same 'personally supreme-commanded' standard applied to Genghis Khan and Saladin, not excluded as subordinate-led. The nearly ten-month Siege of Petersburg (June 1864-April 1865) is broken into four separately-documented named battles (Second Battle of Petersburg, the Crater, Globe Tavern, Third Battle of Petersburg) rather than folded into one aggregate siege-level row, since each phase has its own distinct, better-sourced outcome and figures, matching the one-named-battle-per-row granularity used for every other general on this roster. Net record is 9 wins (4 Rout-level: Fort Donelson, Vicksburg, Chattanooga, Appomattox) / 3 losses (Cold Harbor, the Second Battle of Petersburg, the Crater, none of them Rout-level -- Grant's own army was checked or repulsed but never broke) / 3 draws (Belmont, the Wilderness, Spotsylvania). Fort Henry is the one row flagged as fought mostly by the Navy rather than Grant's own infantry; included rather than excluded since Grant was present and in overall command throughout, unlike the excluded subordinate-led battles above."
georgy-zhukov,Georgy Zhukov,WWII,1939,1945,"Scope limited to battles/operations where Zhukov personally held direct field command of a Front/Army Group, not battles where he served only as a Stavka coordinator/representative overseeing subordinate front commanders -- the same 'personally supreme-commanded' bar used for Genghis Khan, Saladin, Frederick's Kesselsdorf exclusion, Napoleon's Jena/Auerstedt split, and Grant elsewhere in this dataset. On this basis, the Battle of Stalingrad, the Battle of Kursk, and Operation Bagration are excluded: Zhukov coordinated/planned these as Deputy Supreme Commander while named front commanders (Yeremenko/Rokossovsky/Vatutin at Stalingrad; Vatutin/Rokossovsky at Kursk; Rokossovsky commanding 1st Belorussian Front for the whole of Bagration) held direct command. The Leningrad Front command (9/14 Sept-27 Oct 1941, a genuine personal command) is also excluded, but for the opposite reason used for Alexander's Persian Gate and Genghis's Khalakhaljid Sands elsewhere in this dataset: despite a dedicated search, no source was found giving any quantifiable own/enemy troop-strength or casualty figure isolated to that specific five-week window (the one figure located, for the Sinyavino offensive he personally directed within it, has no numbers at all in any source, including Wikipedia's own unsourced page on it) -- the weakest-sourced gap in this entire dataset, ancient generals included. The First Rzhev-Vyazma Offensive (Jan-Apr 1942, personally commanded, Western Front) is likewise excluded for lack of any enemy-side (German 9th Army) troop-strength or casualty figure isolated to that specific operation, as opposed to the broader multi-year Rzhev campaign total or the separate, non-Zhukov-commanded Toropets-Kholm offensive that created the salient. The Battle of Berlin (April-May 1945 city-assault operation) is excluded as a separate row from the roster's Battle of Seelow Heights for the same overlapping-dates/double-counting reason documented on that row -- Seelow was Zhukov's own front's opening battle of the same operation, and Berlin's only available figures are an undifferentiated three-marshal combined total for the same period. tech_era_tier=5 for every row -- the first general in this dataset to reach the schema's top tier ('mechanised warfare with radio and rail'), a deliberate step up from Napoleon/Grant's tier 4, since the Eastern Front genuinely combined tanks, radio-coordinated combined-arms formations, and rail logistics at a scale the American Civil War (rail and telegraph, no radio or mechanization) did not reach. Net roster is 5 wins (2 Rout-level: Khalkhin Gol, Vistula-Oder) and 1 loss (Operation Mars, Zhukov's own best-documented personal defeat) across a 6-battle roster -- smaller than every other general in this dataset (range 8-15 elsewhere) despite an extensive search for additional candidates, a direct, structural consequence of the Red Army's Stavka command system routinely putting multiple named front commanders under a single coordinating deputy for the war's largest, most-quantified operations (exactly the operations excluded above); this is flagged here rather than papered over by loosening the personal-command bar just for Zhukov."
hannibal-barca,Hannibal Barca,Ancient,-218,-202,"Scope limited to major set-piece battles Hannibal personally commanded during the Second Punic War (218-202 BC) with quantifiable troop-strength and casualty figures on both sides. Excludes the 219 BC Siege of Saguntum (the war's opening action) and the 220 BC Battle of the Tagus against the Carpetani coalition -- both well-attested qualitatively (Saguntum's garrison 'nearly the whole fighting force was killed'; Tagus routed 'more than one hundred thousand' per Polybius) but with no quantifiable troop-strength or casualty figure for either side surviving in any source, the same no-fabrication bar applied to Alexander's Persian Gate and Genghis's Khalakhaljid Sands. Also excludes the three Battles of Nola (216, 215, 214 BC) and the Battle of Numistro (210 BC) for the same reason -- Livy himself hedges his own casualty claim for the first Nola battle ('I would hardly venture to assert...that 2,800 of the enemy were killed') and gives no troop-strength figure at all for any of the four -- and the Battles of Herdonia (212 and 210 BC), the Battle of Canusium/Asculum (209 BC), the Battle of the Silarus (212 BC), the Battle of Grumentum (207 BC), the Battles of Kroton (204-203 BC), and the Battle of Ager Falernus (217 BC), despite each having a hard Roman-side casualty figure (Herdonia I: 16,000 Roman dead; Herdonia II: 7,000-13,000; Canusium: 5,700; Silarus: 15,000; Grumentum: 8,000 Roman claim), because Hannibal's own troop strength is explicitly 'unknown' (Wikipedia's own infobox language) or given only as a partial detachment figure in every one of these, not a defensible total under his command at the battle. This pattern -- Roman chroniclers meticulously counting their own dead while rarely quantifying Carthaginian-side numbers for the long stalemate years after Cannae -- is a real and notable feature of the Second Punic War's surviving sources, not a research shortcut; it leaves this roster at 7 battles, short of the 8-15 range otherwise used in this dataset, the same kind of documented shortfall as Zhukov's 6-battle roster elsewhere in this file. Two included rows (Ticinus, Battle of Capua 212 BC) still have a real gap in one numeric field: Ticinus's casualties are only ever described qualitatively ('Light'/'Heavy') in sources, and Capua's own_casualties has no figure at all ('Unknown'); both are flagged per-row as order-of-magnitude placeholders rather than source-derived numbers, the same treatment given to several Genghis Khan and Saladin rows elsewhere in this dataset. tech_era_tier=1 for every row, matching Caesar and Alexander. resource_backing_tier varies 1-3 across the roster reflecting Hannibal's genuinely worsening resource situation over the war -- tier 2 for the freshly-arrived invasion force of 218-217 BC, tier 3 at Cannae (his largest, best-reinforced army of the war) and at Zama (home-soil mobilization, though a scratch army), tier 1 at Petelia (208 BC, the isolated Bruttium endgame). Net roster is 6 wins and 1 loss: undefeated in every included Italian battle, with the one loss being Zama itself, the war-deciding battle against Scipio Africanus -- a fair summary of Hannibal's actual reputation (tactically formidable, strategically unable to force Rome to terms, and beaten only once it mattered most)."
scipio-africanus,Scipio Africanus,Ancient,-209,-202,"Scope limited to major set-piece battles/sieges personally supreme-commanded during the Second Punic War (209-202 BC) with quantifiable troop-strength and casualty figures on both sides -- same personal-command and no-fabrication bars used for every general in this dataset. Excludes the Battle of the Great Plains (Campi Magni, 203 BC), the field battle that immediately followed the Battle of the Camps: both Polybius (Histories XIV.8-9) and Livy (Ab Urbe Condita XXX.8) narrate the battle in tactical detail (Scipio's double envelopment of the Celtiberian center, Syphax and Hasdrubal Gisco's escape) but neither gives any casualty figure, killed or captured, for either side -- the same no-fabrication bar applied to Alexander's Persian Gate and Genghis's Khalakhaljid Sands elsewhere in this dataset. Also excludes the Battle of Cirta (203 BC, fought by Scipio's legate Gaius Laelius and Masinissa while Scipio himself was besieging Utica) and the Battle against Vermina (202 BC, fought by Gnaeus Octavius after Zama while Scipio marched on Carthage) -- both well-attested with casualty figures but neither personally commanded by Scipio, the same subordinate-command exclusion applied to Genghis's Irtysh River/Parwan and Saladin's al-Babein elsewhere. Also excludes Scipio's earlier presence (not command) at Ticinus (218 BC, where as a young military tribune he saved his wounded father, already a row in Hannibal's roster with the father Publius Cornelius Scipio as opponent_general_id) and at Cannae (216 BC, survived the battle as a junior officer under his elders' command). Net roster is 5 rows, on the low end of this dataset's usual 8-15 range for the same structural reason as Zhukov's 6-battle roster and Hannibal's 7-battle roster: Scipio's independent-command career was short (7 years) and several of his other well-known engagements (Great Plains, Cirta, Vermina) fail either the no-fabrication or the personal-command bar rather than being a research shortfall. All 5 rows are wins; Scipio is undefeated in personal command, culminating in the battle that ended the Second Punic War against Hannibal himself."
